collection_name,asset_url,asset_img_url,event_contract_address,event_quantity,event_total_price
Tootles V1,https://testnets.opensea.io/assets/rinkeby/0xd838536224ea1ce602ef6d3da841c8cbda632c1f/547,https://lh3.googleusercontent.com/rg6IuoZFZAbjVQcJVgE0GFd7Tkz8RjUTcw0dkB35U-c4uxlRVbKAin2D37O2pPiaToD_-gqBM8nUpEuvGMiN5m-e3NQMw8wz6JXW,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.0001
Tootles V1,https://testnets.opensea.io/assets/rinkeby/0xd838536224ea1ce602ef6d3da841c8cbda632c1f/550,https://lh3.googleusercontent.com/rg6IuoZFZAbjVQcJVgE0GFd7Tkz8RjUTcw0dkB35U-c4uxlRVbKAin2D37O2pPiaToD_-gqBM8nUpEuvGMiN5m-e3NQMw8wz6JXW,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.0001
JPEGbot_Test,https://testnets.opensea.io/assets/rinkeby/0x9c0a1b6d07b5c415029439309a6d81454805d7fb/6,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.03
SINCE 3000 GENESIS V3,https://testnets.opensea.io/assets/rinkeby/0xace0e24f046054e10ae9564ee08d7b9741610c6b/2,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.006
SINCE 3000 GENESIS V3,https://testnets.opensea.io/assets/rinkeby/0xace0e24f046054e10ae9564ee08d7b9741610c6b/1,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.003
JPEGbot_Test,https://testnets.opensea.io/assets/rinkeby/0x9c0a1b6d07b5c415029439309a6d81454805d7fb/233,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.03
JPEGbot_Test,https://testnets.opensea.io/assets/rinkeby/0x9c0a1b6d07b5c415029439309a6d81454805d7fb/235,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.03
RuneApes - cL5UnqwUNd,https://testnets.opensea.io/assets/rinkeby/0x33304d81aed13a97302786b3b44ba43e311a5010/1,https://lh3.googleusercontent.com/ifN-NQijFShPQeYJGHFfqAhti_0knN3a1dG2m8E6psl6LfiQ4Ev-4iPGu-ldQ_dC8ToXeOnCe2K0OKnokOQ1AS2FJ-rY_BxbHve4eA,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
Unidentified contract - 9FCI8Sck9W,https://testnets.opensea.io/assets/rinkeby/0x0d3541740956371b75a6da621d04b27010e614b7/1,https://lh3.googleusercontent.com/Bs-G-Z74yrOPV3wm_xMqsYkdXqhZE5Tzn7fBV11WEStLGEQGBYSinR7wGthsu6zM1xdrVecJN10e7ol73Z-1MoBzjJHhgC4P0Bdjmx8,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.03
NK Test 03.25,https://testnets.opensea.io/assets/rinkeby/0x408ee8d319255dde8f590dd28d1d1e1abcfdf637/9,https://lh3.googleusercontent.com/-pUxy598dFDDm9Rsv7GsGukCqis8sL6lRI8K_XXu3rdNgSMPnCsL1V0YkuwtrIHEiXt3qR3ujEFTMapX26hFfqTH8AzzaFzJq6AzFg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
